ファイル名,exists_p1,path_p1,collision_p1,exists_p2,path_p2,collision_p2,exists_p3,path_p3,collision_p3,exists_p4,path_p4,collision_p4,exists_p5,path_p5,collision_p5,exists_p6,path_p6,collision_p6,exists_p7,path_p7,collision_p7,exists_p8,path_p8,collision_p8,exists_p9,path_p9,collision_p9,status
._allforceh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allforceh5.py,,p9
._allgrainh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allgrainh5.py,,p9
._allhomogenizationh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allhomogenizationh5.py,,p9
._allstepHomogenizer.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allstepHomogenizer.py,,p9
._allstepMPMBeforeflow.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allstepMPMBeforeflow.py,,p9
._allsteptiHomogenizerSleep.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allsteptiHomogenizerSleep.py,,p9
._allstressplot.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allstressplot.py,,p9
._allstressviewer.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._allstressviewer.py,,p9
._compareDEMStress.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._compareDEMStress.py,,p9
._compareForceAndGravity.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._compareForceAndGravity.py,,p9
._compareGrainsFile.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._compareGrainsFile.py,,p9
._compareHomogenizeStress.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._compareHomogenizeStress.py,,p9
._compareStressPairs.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._compareStressPairs.py,,p9
._deleteIntermediateFile.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._deleteIntermediateFile.py,,p9
._extractStressPlot.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._extractStressPlot.py,,p9
._forceCalculatorMPM.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._forceCalculatorMPM.py,,p9
._forceh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._forceh5.py,,p9
._geninitialcolumn.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._geninitialcolumn.py,,p9
._grainRender.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._grainRender.py,,p9
._grainViewer.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._grainViewer.py,,p9
._grainh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._grainh5.py,,p9
._homogenizationh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._homogenizationh5.py,,p9
._homogenizer.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._homogenizer.py,,p9
._homogenizerti.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._homogenizerti.py,,p9
._initPiledSim.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._initPiledSim.py,,p9
._initResumefn.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._initResumefn.py,,p9
._initSimulationEnv.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._initSimulationEnv.py,,p9
._interpolateMPMStress.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._interpolateMPMStress.py,,p9
._makeSleepFlag.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._makeSleepFlag.py,,p9
._makefinishflag.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._makefinishflag.py,,p9
._nagasu_loop.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._nagasu_loop.py,,p9
._particlehomogenizationh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._particlehomogenizationh5.py,,p9
._plotGrainsPosition.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._plotGrainsPosition.py,,p9
._plotParticleStress.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._plotParticleStress.py,,p9
._progressh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._progressh5.py,,p9
._qt_gl_widget2.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._qt_gl_widget2.py,,p9
._removeoutlier.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._removeoutlier.py,,p9
._rewriteResumefn.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._rewriteResumefn.py,,p9
._storeStressPair.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._storeStressPair.py,,p9
._stress_pair_compressor.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._stress_pair_compressor.py,,p9
._stress_plot_widget.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._stress_plot_widget.py,,p9
._stresspairh5.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._stresspairh5.py,,p9
._stressviewer.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._stressviewer.py,,p9
._vertex_buffer_objects.py,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,._vertex_buffer_objects.py,,p9
allforceh5.py,True,allforceh5.py,,False,,,True,nagasu/allforceh5.py,,True,nagasu/allforceh5.py,,True,allforceh5.py,,False,,,True,nagasu/allforceh5.py,,True,nagasu/allforceh5.py,,True,allforceh5.py,,p1_p3_p4_p5_p7_p8_p9
allgrainh5.py,True,allgrainh5.py,,False,,,True,nagasu/allgrainh5.py,,True,nagasu/allgrainh5.py,,True,allgrainh5.py,,False,,,True,nagasu/allgrainh5.py,,True,nagasu/allgrainh5.py,,True,allgrainh5.py,,p1_p3_p4_p5_p7_p8_p9
allhomogenizationh5.py,True,allhomogenizationh5.py,,False,,,True,nagasu/allhomogenizationh5.py,,False,,,True,allhomogenizationh5.py,,False,,,True,nagasu/allhomogenizationh5.py,,False,,,True,allhomogenizationh5.py,,p1_p3_p5_p7_p9
allstepHomogenizer.py,True,allstepHomogenizer.py,,False,,,True,nagasu/allstepHomogenizer.py,,False,,,True,allstepHomogenizer.py,,False,,,True,nagasu/allstepHomogenizer.py,,False,,,True,allstepHomogenizer.py,,p1_p3_p5_p7_p9
allstepMPMBeforeflow.py,True,allstepMPMBeforeflow.py,,False,,,True,nagasu/allstepMPMBeforeflow.py,,False,,,True,allstepMPMBeforeflow.py,,False,,,True,nagasu/allstepMPMBeforeflow.py,,False,,,True,allstepMPMBeforeflow.py,,p1_p3_p5_p7_p9
allsteptiHomogenizerSleep.py,False,,,False,,,True,nagasu/allsteptiHomogenizerSleep.py,,False,,,False,,,False,,,True,nagasu/allsteptiHomogenizerSleep.py,,False,,,True,allsteptiHomogenizerSleep.py,,p3_p7_p9
allstressplot.py,True,allstressplot.py,,False,,,True,nagasu/allstressplot.py,,False,,,True,allstressplot.py,,False,,,True,nagasu/allstressplot.py,,False,,,True,allstressplot.py,,p1_p3_p5_p7_p9
allstressviewer.py,True,allstressviewer.py,,False,,,True,nagasu/allstressviewer.py,,False,,,True,allstressviewer.py,,False,,,True,nagasu/allstressviewer.py,,False,,,True,allstressviewer.py,,p1_p3_p5_p7_p9
boundarydesign.py,False,,,True,boundarydesign.py,,False,,,False,,,False,,,True,boundarydesign.py,,False,,,False,,,False,,,p2_p6
changeParticleDensity.py,False,,,False,,,False,,,False,,,False,,,True,changeParticleDensity.py,,False,,,False,,,False,,,p6
compareDEMStress.py,True,compareDEMStress.py,,False,,,True,nagasu/compareDEMStress.py,,False,,,True,compareDEMStress.py,,False,,,True,nagasu/compareDEMStress.py,,False,,,True,compareDEMStress.py,,p1_p3_p5_p7_p9
compareForceAndGravity.py,True,compareForceAndGravity.py,,False,,,True,nagasu/compareForceAndGravity.py,,False,,,True,compareForceAndGravity.py,,False,,,True,nagasu/compareForceAndGravity.py,,False,,,True,compareForceAndGravity.py,,p1_p3_p5_p7_p9
compareGrainsFile.py,False,,,False,,,True,nagasu/compareGrainsFile.py,,False,,,False,,,False,,,True,nagasu/compareGrainsFile.py,,False,,,True,compareGrainsFile.py,,p3_p7_p9
compareHomogenizeStress.py,True,compareHomogenizeStress.py,,False,,,True,nagasu/compareHomogenizeStress.py,,False,,,True,compareHomogenizeStress.py,,False,,,True,nagasu/compareHomogenizeStress.py,,False,,,True,compareHomogenizeStress.py,,p1_p3_p5_p7_p9
compareStressPairs.py,False,,,False,,,True,nagasu/compareStressPairs.py,,False,,,False,,,False,,,True,nagasu/compareStressPairs.py,,False,,,True,compareStressPairs.py,,p3_p7_p9
deleteIntermediateFile.py,False,,,False,,,True,nagasu/deleteIntermediateFile.py,,False,,,False,,,False,,,True,nagasu/deleteIntermediateFile.py,,False,,,True,deleteIntermediateFile.py,,p3_p7_p9
extractStressPlot.py,True,extractStressPlot.py,,False,,,True,nagasu/extractStressPlot.py,,True,nagasu/extractStressPlot.py,,True,extractStressPlot.py,,False,,,True,nagasu/extractStressPlot.py,,True,nagasu/extractStressPlot.py,,True,extractStressPlot.py,,p1_p3_p4_p5_p7_p8_p9
floorgenerator.py,False,,,True,floorgenerator.py,,False,,,False,,,False,,,True,floorgenerator.py,,False,,,False,,,False,,,p2_p6
forceCalculatorMPM.py,True,forceCalculatorMPM.py,,False,,,True,nagasu/forceCalculatorMPM.py,,False,,,True,forceCalculatorMPM.py,,False,,,True,nagasu/forceCalculatorMPM.py,,False,,,True,forceCalculatorMPM.py,,p1_p3_p5_p7_p9
