key,exists_p1,path_p1,collision_p1,exists_p2,path_p2,collision_p2,same,status,diff_file,diff_text
allforceh5.py,True,allforceh5.py,,True,allforceh5.py,,False,diff,../output/diffs/allforceh5.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/allforceh5.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/allforceh5.py
@@ -1,10 +1,16 @@
 import h5py

 import numpy as np

+import os

+import ctypes

 from forceh5 import *

 

 class AllForceData:

     def __init__(self):

-        self.all_step_ForceData = []

+        self.estimate_force_num = 200000

+        self.force_num = 0

+        self.all_step_ForceData_position = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

+        self.all_step_ForceData_arm = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

+        self.all_step_ForceData_force = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

 

     def __load_forces(self, fileName):

         if fileName != """" and fileName[len(fileName)-3:] == "".h5"":

@@ -40,7 +46,7 @@
         if fileName != """" and fileName[len(fileName) - 3:] == "".h5"":

             self.all_step_ForceData.clear()

             with h5py.File(fileName, 'r') as h5_forces:

-                #idx番目のkeyを取得

+                # idx番目のkeyを取得

                 keys = list(map(str, h5_forces.keys()))

                 keys.remove('force_num')

                 keys = list(map(int, keys))

@@ -61,8 +67,39 @@
                     f.force = force_array[:, i]

                     force.forces.append(f)

                 self.all_step_ForceData.append(force)

+

     def load_from_idx(self, fn_element, idx):

         self.__load_forces_from_idx(fn_element, idx)

+

+    def __load_forces_from_idx_for_simulation(self, fileName, idx):

+        #print(""debug - allforceh5.py : __load_forces_from_idx_for_simulation (fileName) = "", fileName)

+        ext_without_dot = os.path.splitext(fileName)[1][1:]

+        if ext_without_dot == ""h5"":

+            # print(""debug - allforceh5.py : __load_forces_from_idx_for_simulation (fileName) = "", fileName)

+            self.all_step_ForceData_position = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

+            self.all_step_ForceData_arm = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

+            self.all_step_ForceData_force = np.zeros((self.estimate_force_num, 2), dtype=ctypes.c_float)

+            with h5py.File(fileName, 'r') as h5_forces:

+                #idx番目のkeyを取得

+                keys = list(map(str, h5_forces.keys()))

+                keys.remove('force_num')

+                keys = list(map(int, keys))

+                newlist = sorted(keys)

+

+                data_group = h5_forces[str(newlist[idx])]

+                f_group = data_group['forces_2d']

+                # print(""debug - allforceh5.py f_group = "", f_group)

+                self.all_step_ForceData_position = np.array(f_group['position'], dtype=np.float64).transpose()

+                # print(""debug - allforceh5.py (self.all_step_ForceData_position) = "", self.all_step_ForceData_position)

+                self.all_step_ForceData_arm = np.array(f_group['arm'], dtype=np.float64).transpose()

+                self.all_step_ForceData_force = np.array(f_group['force'], dtype=np.float64).transpose()

+                self.force_num = np.array(f_group['position'], dtype=np.float64).transpose().shape[0]

+

+    def load_from_idx(self, fn_element, idx):

+        self.__load_forces_from_idx(fn_element, idx)

+

+    def load_from_idx_for_simulation(self, fn_element, idx):

+        self.__load_forces_from_idx_for_simulation(fn_element, idx)

 

 def force_data_num(post_fn):

     with h5py.File(post_fn, 'r') as h5_forces:
"
allgrainh5.py,True,allgrainh5.py,,True,allgrainh5.py,,False,diff,../output/diffs/allgrainh5.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/allgrainh5.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/allgrainh5.py
@@ -1,12 +1,21 @@
 import h5py

 import numpy as np

 from grainh5 import *

-

+import ctypes

 

 class AllSceneData:

     def __init__(self):

         self.templates = {}

         self.all_step_elements = []

+        self.all_step_elements_template_idx_array = np.zeros(1, dtype=ctypes.c_int)

+        self.all_step_elements_size_ratio_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_center_of_mass_array = np.zeros((1, 2), dtype=ctypes.c_float)

+        self.all_step_elements_rotation_angle_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_velocity_array = np.zeros((1, 2), dtype=ctypes.c_float)

+        self.all_step_elements_angular_velocity_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_static_array = np.zeros(1, dtype=ctypes.c_int)

+        self.all_step_elements_template_idx_to_name_dict = {}

+

 

     def __load_templates(self, fileName):

         if fileName != """" and fileName[len(fileName)-3:] == "".h5"":

@@ -124,6 +133,94 @@
         self.__load_templates(fn_template)

         self.__load_elements_from_idx(fn_element, idx)

 

+    def __load_elements(self, fileName):

+        if fileName != """" and fileName[len(fileName) - 3:] == "".h5"":

+

+            template_idx_to_name_dict = {}

+            with h5py.File(fileName, 'r') as h5_elements:

+                keys = list(map(str, h5_elements.keys()))

+                keys.remove('force_num')

+                keys = list(map(int, keys))

+                newlist = sorted(keys)

+                for t in newlist:

+                    data_group = h5_elements[str(t)]

+                    e_group = data_group['elements_2d']

+                    tn_group = data_group['template_name_dict']

+                    template_idxs = list(tn_group.keys())

+

+                    for i in template_idxs:

+                        template_idx_to_name_dict.update([(int(i), tn_group[i][0].decode())])

+

+                    template_idx_array = np.array(e_group['template_idx'], dtype=np.int32)

+                    size_ratio_array = np.array(e_group['size_ratio'], dtype=np.float64)

+                    center_of_mass_array = np.array(e_group['center_of_mass'], dtype=np.float64)

+                    rotation_angle_array = np.array(e_group['rotation_angle'], dtype=np.float64)

+                    velocity_array = np.array(e_group['velocity'], dtype=np.float64)

+                    angular_velocity_array = np.array(e_group['angular_velocity'], dtype=np.float64)

+                    static_array = np.array(e_group['static'], dtype=np.int8)

+                    # static_array = np.array(e_group['static'], dtype=np.bool)

+

+                    num_elems = len(size_ratio_array)

+

+                    scene_data = SceneData()

+                    for i in range(num_elems):

+                        e = Element()

+                        e.template_name = template_idx_to_name_dict[template_idx_array[i]]

+                        e.size_ratio = size_ratio_array[i]

+                        e.center_of_mass = center_of_mass_array[:, i]

+                        e.rotation_angle = rotation_angle_array[i]

+                        e.velocity = velocity_array[:, i]

+                        # e.angular_velocity = angular_velocity_array[i]

+                        e.static = False if static_array[i] == 0 else True

+                        e.static = static_array[i]

+                        scene_data.elements.append(e)

+                    scene_data.templates = self.templates

+                    self.all_step_elements.append(scene_data)

+

+    def load(self, fn_template, fn_element):

+        self.__load_templates(fn_template)

+        self.__load_elements(fn_element)

+

+    def __load_elements_from_idx_for_simulation(self, fileName, idx):

+        self.all_step_elements_template_idx_array = np.zeros(1, dtype=ctypes.c_int)

+        self.all_step_elements_size_ratio_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_center_of_mass_array = np.zeros((1, 2), dtype=ctypes.c_float)

+        self.all_step_elements_rotation_angle_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_velocity_array = np.zeros((1, 2), dtype=ctypes.c_float)

+        self.all_step_elements_angular_velocity_array = np.zeros(1, dtype=ctypes.c_float)

+        self.all_step_elements_static_array = np.zeros(1, dtype=ctypes.c_int)

+

+        if fileName != """" and fileName[len(fileName) - 3:] == "".h5"":

+

+            self.all_step_elements_template_idx_to_name_dict = {}

+            with h5py.File(fileName, 'r') as h5_elements:

+                # idx番目のkeyを取得する

+                keys = list(map(str, h5_elements.keys()))

+                if 'force_num' in keys:

+                    keys.remove('force_num')

+                keys = list(map(int, keys))

+                newlist = sorted(keys)

+

+                data_group = h5_elements[str(newlist[idx])]

+                e_group = data_group['elements_2d']

+                tn_group = data_group['template_name_dict']

+                template_idxs = list(tn_group.keys())

+

+                for i in template_idxs:

+                    self.all_step_elements_template_idx_to_name_dict.update([(int(i), tn_group[i][0].decode())])

+

+                self.all_step_elements_template_idx_array = np.array(e_group['template_idx'], dtype=np.int32)

+                self.all_step_elements_size_ratio_array = np.array(e_group['size_ratio'], dtype=np.float64)

+                self.all_step_elements_center_of_mass_array = np.array(e_group['center_of_mass'], dtype=np.float64).transpose()

+                self.all_step_elements_rotation_angle_array = np.array(e_group['rotation_angle'], dtype=np.float64)

+                self.all_step_elements_velocity_array = np.array(e_group['velocity'], dtype=np.float64).transpose()

+                self.all_step_elements_angular_velocity_array = np.array(e_group['angular_velocity'], dtype=np.float64).transpose()

+                self.all_step_elements_static_array = np.array(e_group['static'], dtype=np.int8)

+

+    def load_from_idx_for_simulation(self, fn_template, fn_element, idx):

+        self.__load_templates(fn_template)

+        self.__load_elements_from_idx_for_simulation(fn_element, idx)

+

     @staticmethod

     def get_key_list(filename):

         if filename == """" or filename[len(filename) - 3:] != "".h5"":
"
allhomogenizationh5.py,True,allhomogenizationh5.py,,True,allhomogenizationh5.py,,False,diff,../output/diffs/allhomogenizationh5.py.diff,
allstepHomogenizer.py,True,allstepHomogenizer.py,,True,allstepHomogenizer.py,,False,diff,../output/diffs/allstepHomogenizer.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/allstepHomogenizer.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/allstepHomogenizer.py
@@ -5,16 +5,24 @@
 from allhomogenizationh5 import *

 from removeoutlier import *

 import os

-import xml.etree.ElementTree as ET 

+import xml.etree.ElementTree as ET

 import sys

+import time

 

 #全ステップの力をロードする。allforce[step]=forceData()

 args = sys.argv

+

 if len(args) < 2:

     print('rewriteResumefn.py homogenize_stress_fn')

 resume_xml_fn = args[1]

 tree = ET.parse(resume_xml_fn)

 root = tree.getroot()

+

+#処理時間を開始

+if root[6].attrib[""mode""] == ""11"":

+    processing_time_fn = root[6].attrib[""processing_time""]

+    start_time = time.perf_counter_ns()

+

 if root[0].tag !=""elements"":

     print(""not elements line"")

 template_fn = root[0].attrib[""templates""]

@@ -87,3 +95,9 @@
 

 allhomogenization_data.save(filename)

 strain_data.save(strain_fn)

+

+#処理時間計測を終了

+if root[6].attrib[""mode""] == ""11"":

+    end_time = time.perf_counter_ns()

+    with open(processing_time_fn, 'a') as f:

+        print((end_time - start_time) / 1000000.0, file=f)
"
allstepMPMBeforeflow.py,True,allstepMPMBeforeflow.py,,True,allstepMPMBeforeflow.py,,False,diff,../output/diffs/allstepMPMBeforeflow.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/allstepMPMBeforeflow.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/allstepMPMBeforeflow.py
@@ -6,16 +6,15 @@
 import xml.etree.ElementTree as ET 

 import sys

 import subprocess

+import time

+import ctypes

 

 #全ステップの力をロード

 args = sys.argv

-if len(args) < 2:

-    print('rewriteResumefn.py homogenize_stress_fn')

 resume_xml_fn = args[1]

 tree = ET.parse(resume_xml_fn)

 root = tree.getroot()

-if root[0].tag !=""elements"":

-    print(""not resume line"")

+

 element_fn = root[0].attrib[""MPMstress""]

 allelements = AllParticleHomogenizeData()

 #全ステップ粒子ロードする

@@ -24,8 +23,6 @@
 

 allhomogenization_data = AllHomogenizeData()

 

-if root[1].tag !=""stress"":

-    print(""not stress line"")

 pre_fn = root[1].attrib[""pre_stress""]

 #２週目以降はファイルをロードする

 """"""

@@ -35,29 +32,24 @@
 """"""

 

 #grid_startを取ってくる

-if root[1].tag !=""stress"":

-    print(""not resume line"")

 post_fn = root[1].attrib[""post_stress""]

 allpost_homogenization_data = AllHomogenizeData()

 allpost_homogenization_data.load(post_fn)

 

 #gridのパラメータ

-if root[4].tag !=""grid"":

-    print(""not grid line"")

 h = float(root[4].attrib[""h""])

 

 #density

 # XMLファイルを解析

-if root[2].tag !=""resume"":

-    print(""not resume line"")

 resume_fn = root[2].attrib[""resume_MPM_fn""]

 resume_tree = ET.parse(resume_fn)

 resume_root = resume_tree.getroot()

-if resume_root[2].tag !=""particles"":

-    print(""not particles line"")

 density = float(resume_root[2].attrib[""density""])

 

 #タイムステップ取得

+#print(os.path.getsize(element_fn))

+#print(os.path.exists(element_fn))

+

 with h5py.File(element_fn, ""r"") as h5:

     keys = list(map(int, h5.keys()))

     sorted_keys = sorted(keys)

@@ -79,7 +71,7 @@
     interpolate_stress.interpolateStress()

     interpolate_stress.saveStress(homogenization_data)

     allhomogenization_data.all_step_homogenization.append(homogenization_data)

-    print(i)

+

 allhomogenization_data.save(pre_fn)

 

     "
allsteptiHomogenizerSleep.py,False,,,True,allsteptiHomogenizerSleep.py,,,only_p2,,
allstressplot.py,True,allstressplot.py,,True,allstressplot.py,,True,same,,
allstressviewer.py,True,allstressviewer.py,,True,allstressviewer.py,,True,same,,
compareDEMStress.py,True,compareDEMStress.py,,True,compareDEMStress.py,,True,same,,
compareForceAndGravity.py,True,compareForceAndGravity.py,,True,compareForceAndGravity.py,,True,same,,
