key,exists_p1,path_p1,collision_p1,exists_p2,path_p2,collision_p2,same,status,diff_file,diff_text
allforceh5.py,True,allforceh5.py,,False,,,,only_p1,,
allgrainh5.py,True,allgrainh5.py,,False,,,,only_p1,,
allhomogenizationh5.py,True,allhomogenizationh5.py,,False,,,,only_p1,,
allstepHomogenizer.py,True,allstepHomogenizer.py,,False,,,,only_p1,,
allstepMPMBeforeflow.py,True,allstepMPMBeforeflow.py,,False,,,,only_p1,,
allstressplot.py,True,allstressplot.py,,False,,,,only_p1,,
allstressviewer.py,True,allstressviewer.py,,False,,,,only_p1,,
boundarydesign.py,False,,,True,boundarydesign.py,,,only_p2,,
compareDEMStress.py,True,compareDEMStress.py,,False,,,,only_p1,,
compareForceAndGravity.py,True,compareForceAndGravity.py,,False,,,,only_p1,,
compareHomogenizeStress.py,True,compareHomogenizeStress.py,,False,,,,only_p1,,
extractStressPlot.py,True,extractStressPlot.py,,False,,,,only_p1,,
floorgenerator.py,False,,,True,floorgenerator.py,,,only_p2,,
forceCalculatorMPM.py,True,forceCalculatorMPM.py,,False,,,,only_p1,,
forceh5.py,True,forceh5.py,,True,forceh5.py,,True,same,,
geninitialcolumn.py,False,,,True,geninitialcolumn.py,,,only_p2,,
grainh5.py,True,grainh5.py,,True,grainh5.py,,True,same,,
grainrender.py,False,,,True,grainrender.py,,,only_p2,,
grainviewer.py,False,,,True,grainviewer.py,,,only_p2,,
homogenizationh5.py,True,homogenizationh5.py,,False,,,,only_p1,,
homogenizer.py,True,homogenizer.py,,False,,,,only_p1,,
initResumefn.py,True,initResumefn.py,,False,,,,only_p1,,
interpolateMPMStress.py,True,interpolateMPMStress.py,,False,,,,only_p1,,
mergetool.py,False,,,True,mergetool.py,,,only_p2,,
particlehomogenizationh5.py,True,particlehomogenizationh5.py,,False,,,,only_p1,,
plotParticleStress.py,True,plotParticleStress.py,,False,,,,only_p1,,
progressh5.py,True,progressh5.py,,False,,,,only_p1,,
qt_gl_widget2.py,True,qt_gl_widget2.py,,False,,,,only_p1,,
removeobject.py,False,,,True,removeobject.py,,,only_p2,,
removeoutlier.py,True,removeoutlier.py,,False,,,,only_p1,,
removetemplate.py,False,,,True,removetemplate.py,,,only_p2,,
rewriteResumefn.py,True,rewriteResumefn.py,,False,,,,only_p1,,
storeStressPair.py,True,storeStressPair.py,,False,,,,only_p1,,
stress_pair_compressor.py,True,stress_pair_compressor.py,,False,,,,only_p1,,
stress_plot_widget.py,True,stress_plot_widget.py,,False,,,,only_p1,,
stresspairh5.py,True,stresspairh5.py,,False,,,,only_p1,,
stressviewer.py,True,stressviewer.py,,False,,,,only_p1,,
vertex_buffer_objects.py,True,vertex_buffer_objects.py,,False,,,,only_p1,,
